Index,Sigma,Freq,Ratio_SF,True_Thickness,Pred_Thickness,Error_Abs,Ratio_Category,Thick_Category
618,0.08,10.8,0.007407407110333562,10.000000026922422,9.815348,0.18465235541363256,中比值 (过渡区),中等环流
619,-4.583865e-10,4.4,-1.041787466791576e-10,7.999999942434371,7.7962947,0.2037052532559045,低比值 (容性主导),薄环流
620,0.06,13.4,0.004477611967350096,12.000000008778036,11.821472,0.17852784080928608,中比值 (过渡区),中等环流
621,0.02,18.0,0.001111111086214114,23.999999797279294,23.933025,0.06697443717187213,低比值 (容性主导),厚环流
622,0.04,9.2,0.004347826079441795,16.0000000751217,15.929347,0.07065303685265789,中比值 (过渡区),中等环流
623,-4.583865e-10,19.4,-2.3628170330800785e-11,10.000000026922422,9.841994,0.15800574133892553,低比值 (容性主导),中等环流
624,0.08,2.6000001,0.030769228376737692,23.999999797279294,23.272285,0.7277143358535128,高比值 (阻性主导),厚环流
625,0.06,3.0000002,0.019999997956841466,2.0000003047648285,2.0222855,0.022285156660952765,高比值 (阻性主导),薄环流
626,0.1,11.0,0.009090909225547747,23.999999797279294,23.345238,0.6547620653457003,高比值 (阻性主导),厚环流
627,0.12,18.2,0.0065934061692762575,21.999999918056112,22.033459,0.033458791660684994,中比值 (过渡区),厚环流
628,0.04,16.6,0.0024096384448383476,10.000000026922422,9.8783045,0.12169554541607397,低比值 (容性主导),中等环流
629,0.12,3.6000001,0.03333333125446843,13.99999999063365,14.058015,0.05801487905629088,高比值 (阻性主导),中等环流
630,0.1,19.199999,0.005208333721113162,2.0000003047648285,1.9773666,0.022633738106808465,中比值 (过渡区),薄环流
631,-4.583865e-10,0.1999995,-2.291938237458417e-09,16.0000000751217,16.161453,0.16145317194861164,低比值 (容性主导),中等环流
632,0.06,14.400001,0.00416666640767661,16.0000000751217,16.031107,0.031106873730838203,中比值 (过渡区),中等环流
633,0.04,7.8,0.005128204887522393,6.00000006321119,5.6312327,0.368767324716317,中比值 (过渡区),薄环流
634,0.04,4.7999997,0.008333333642038098,16.0000000751217,15.990579,0.009421423693478204,中比值 (过渡区),中等环流
635,0.04,13.8,0.0028985506195780522,12.000000008778036,11.805012,0.19498825951045795,低比值 (容性主导),中等环流
636,0.1,19.199999,0.005208333721113162,13.99999999063365,13.865499,0.134501447848006,中比值 (过渡区),中等环流
637,0.12,0.6000001,0.199999967380822,13.99999999063365,13.913908,0.08609198587290834,高比值 (阻性主导),中等环流
638,0.08,12.8,0.006249999766681079,23.999999797279294,23.546026,0.45397356742089556,中比值 (过渡区),厚环流
639,0.06,16.4,0.0036585365884669457,6.00000006321119,5.8272448,0.17275530460523303,中比值 (过渡区),薄环流
640,0.12,2.2,0.0545454521192344,4.000000183988009,4.5960197,0.596019560885038,高比值 (阻性主导),薄环流
641,0.1,10.0,0.010000000148011612,18.000000159609748,17.773539,0.22646157013220858,高比值 (阻性主导),厚环流
642,0.04,18.0,0.002222222172428228,18.000000159609748,18.00399,0.003990013730096109,低比值 (容性主导),厚环流
643,-4.583865e-10,2.2,-2.0835749331096122e-10,16.0000000751217,16.181572,0.1815718853275179,低比值 (容性主导),中等环流
644,-4.583865e-10,0.9999997,-4.583866315792068e-10,13.99999999063365,14.063646,0.06364632589466979,低比值 (容性主导),中等环流
645,0.06,0.40000024,0.1499999046301559,13.99999999063365,14.119716,0.11971569997914244,高比值 (阻性主导),中等环流
646,0.04,6.7999997,0.005882353056323924,10.000000026922422,9.820949,0.17905142615337866,中比值 (过渡区),中等环流
647,0.12,11.0,0.01090909066426199,10.000000026922422,10.008525,0.008524867791933843,高比值 (阻性主导),中等环流
648,0.06,1.9999996,0.03000000467886661,21.999999918056112,22.083136,0.08313568680228656,高比值 (阻性主导),厚环流
649,0.08,3.8,0.021052631367019924,16.0000000751217,15.889422,0.11057765843468914,高比值 (阻性主导),中等环流
650,0.08,6.7999997,0.011764706112647847,20.00000003883293,19.830704,0.16929630348136726,高比值 (阻性主导),厚环流
651,0.04,10.4,0.0038461539008918704,16.0000000751217,15.987029,0.012970999499142266,中比值 (过渡区),中等环流
652,0.12,0.1999995,0.6000014945704563,23.999999797279294,19.675295,4.324704921180661,高比值 (阻性主导),厚环流
653,0.06,17.4,0.0034482758603942565,16.0000000751217,16.20161,0.20161049006384602,低比值 (容性主导),中等环流
654,0.12,18.8,0.006382978839427361,12.000000008778036,11.84849,0.151510247425497,中比值 (过渡区),中等环流
655,0.08,17.8,0.004494382114399309,12.000000008778036,11.774987,0.22501278801387592,中比值 (过渡区),中等环流
656,0.06,2.2,0.0272727260596172,16.0000000751217,16.022495,0.022495194653689765,高比值 (阻性主导),中等环流
657,0.08,19.8,0.004040404105575957,7.999999942434371,7.8724604,0.12753957713896114,中比值 (过渡区),薄环流
658,0.04,0.1999995,0.2000004981901521,13.99999999063365,14.335711,0.3357105348790448,高比值 (阻性主导),中等环流
659,0.04,8.6,0.004651162479883893,23.999999797279294,23.813652,0.18634775870507525,中比值 (过渡区),厚环流
660,0.08,4.7999997,0.016666667284076196,20.00000003883293,19.967308,0.03269199439933601,高比值 (阻性主导),厚环流
661,0.12,16.6,0.007228915334515043,7.999999942434371,8.113909,0.11390882526582402,中比值 (过渡区),薄环流
662,-4.583865e-10,7.0,-6.54837850517497e-11,21.999999918056112,22.826153,0.82615288345756,低比值 (容性主导),厚环流
663,0.1,4.9999995,0.020000002201372064,4.000000183988009,4.048814,0.04881363589724508,高比值 (阻性主导),薄环流
664,0.1,18.8,0.005319149231009882,21.999999918056112,22.109623,0.10962303726615374,中比值 (过渡区),厚环流
665,-4.583865e-10,11.0,-4.1671499580550925e-11,12.000000008778036,11.839244,0.1607561199230556,低比值 (容性主导),中等环流
666,0.04,17.6,0.0022727271725386925,16.0000000751217,15.915169,0.08483131291466961,低比值 (容性主导),中等环流
667,0.06,8.0,0.0074999998314244365,20.00000003883293,19.839933,0.16006664344718757,中比值 (过渡区),厚环流
668,0.02,8.4,0.0023809524355768437,16.0000000751217,16.251835,0.25183479426306477,低比值 (容性主导),中等环流
669,0.02,6.0,0.003333333258271972,12.000000008778036,11.906285,0.09371472282832904,低比值 (容性主导),中等环流
670,0.12,15.8,0.007594936446935246,2.0000003047648285,1.862507,0.1374933191004608,中比值 (过渡区),薄环流
671,-4.583865e-10,16.800001,-2.728490858186589e-11,10.000000026922422,9.842236,0.15776446173687475,低比值 (容性主导),中等环流
672,0.1,0.9999997,0.10000003119244777,2.0000003047648285,2.9298382,0.9298378757771637,高比值 (阻性主导),薄环流
673,0.08,16.199999,0.004938271843106544,2.0000003047648285,1.895528,0.1044723458948944,中比值 (过渡区),薄环流
674,0.04,0.40000024,0.09999993642010392,23.999999797279294,22.831589,1.1684110521621065,高比值 (阻性主导),厚环流
675,0.08,17.4,0.0045977011471923426,10.000000026922422,9.976293,0.023707416753964594,中比值 (过渡区),中等环流
676,0.06,7.4,0.008108107821288913,6.00000006321119,6.195892,0.19589179393602674,中比值 (过渡区),薄环流
677,0.02,15.2,0.0013157894606984407,12.000000008778036,11.824956,0.17504406853145404,低比值 (容性主导),中等环流
678,0.02,1.4000002,0.014285711766641614,23.999999797279294,22.934286,1.065713679725583,高比值 (阻性主导),厚环流
